UID,NAME,AQI,geometry
1439,Hangzhou (杭州),46,"[30.274085, 120.15507]"
4450,杭州; Linan (临安),-,"[30.274085, 120.15507]"
724,"Hemu primary school, Hangzhou (杭州市和睦小学)",63,"[30.31194444, 120.1197222]"
725,"Zhejiang Agricultural University, Hangzhou (杭州市浙江农大)",57,"[30.268, 120.193]"
723,"Bīnjiāng, Hangzhou (杭州市滨江)",55,"[30.21, 120.210833]"
721,"Wolong bridge, Hangzhou (杭州市卧龙桥)",46,"[30.246, 120.128]"
4841,"南星桥, Hangzhou (杭州市南星桥)",-,"[30.209383, 120.166298]"
722,"Zhāohuī zone 5, Hangzhou (杭州市朝晖五区)",-,"[30.288, 120.171]"
726,"Xiasha, Hangzhou (杭州市下沙)",42,"[30.30583333, 120.3480556]"
728,"Xixi, Hangzhou (杭州市西溪)",43,"[30.27472222, 120.0633333]"
727,"Yunqi, Hangzhou (杭州市云栖)",42,"[30.18083333, 120.0883333]"
730,"Qiandao lake, Hangzhou (杭州市千岛湖)",-,"[29.633, 119.0315]"
729,"Chengxiang town, Hangzhou (杭州市城厢镇)",50,"[30.18194444, 120.2697222]"
731,"Linping town, Hangzhou (杭州市临平镇)",46,"[30.418333, 120.300556]"
4751,"余杭镇一中, Hangzhou (杭州市余杭镇一中)",-,"[30.260884, 119.93989]"
4756,"jiāncè lóu, Jiàndé, Hangzhou (杭州市建德市监测楼)",-,"[29.4744417, 119.2762472]"
3787,"No.2 Middle School, Hangzhou (杭州市富阳市镇二中)",-,"[30.0469, 119.9518]"
3788,"City Hall, Hangzhou (杭州市临安市市府大楼)",-,"[30.23666667, 119.7186111]"
4752,"桐庐江北, Tónglú, Hangzhou (杭州市桐庐县桐庐江北)",-,"[29.803966, 119.671111]"
4753,"桐庐江南, Tónglú, Hangzhou (杭州市桐庐县桐庐江南)",-,"[29.796136, 119.690568]"
3789,"No. 4 middle school, Hangzhou (杭州市临安市第四中学)",-,"[30.23194444, 119.6947222]"
